candidate,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score,folds,fold_60_std,worst_fold_60_lcb,robust_score,eligible,promotion_passed,decision_reasons
compact_C0.01,3550,0.5470422535211268,0.5616473458143076,0.6864500432970894,2013,1157,0.5747640337804272,0.553044707664256,831,504,0.6064981949458483,0.572865300445892,2.985118555236924,3,0.014586166045576691,0.5357027646057092,3.49164898775148,True,False,insufficient_samples;fold_60_regression
compact_C0.1,3550,0.5445070422535211,0.5637792103527856,0.6874814575722303,2174,1235,0.5680772769089236,0.5471527106054597,1080,647,0.5990740740740741,0.5695434733360683,2.9658654839918266,3,0.002463052369931005,0.546180748451588,3.5071201277035526,True,False,insufficient_samples;fold_60_regression
strength_C0.01,3550,0.5473239436619718,0.5645275461184226,0.6845771798138509,1833,1057,0.5766503000545554,0.5538937077423036,544,349,0.6415441176470589,0.6003824566913528,3.0973311511128663,3,0.018174559120313318,0.5532698506765957,3.6142518835488353,True,False,insufficient_samples;fold_60_regression
strength_C0.1,3550,0.5554929577464789,0.5695157075613465,0.6838538236456115,1956,1141,0.5833333333333334,0.5613421588242842,770,480,0.6233766233766234,0.5886190090143477,3.0610007339702525,3,0.02653961675121699,0.536554079572638,3.5444755800404564,True,False,insufficient_samples;fold_60_regression
strength_starter_C0.01,3550,0.5495774647887324,0.5627338350072619,0.6857534953328487,2015,1154,0.5727047146401986,0.550986771076157,800,492,0.615,0.5808072545573248,3.015800733698812,3,0.008998955236475236,0.5457015817800573,3.5435044050059186,True,False,insufficient_samples;fold_60_regression
strength_starter_C0.1,3550,0.5453521126760563,0.5650056141118023,0.6866100839090084,2152,1228,0.570631970260223,0.5496108164730759,1050,636,0.6057142857142858,0.5758205761598598,2.9941432110994652,3,0.007537333054361989,0.5369463498596252,3.5160148948503664,True,False,insufficient_samples;fold_60_regression
v9,3550,0.5369014084507042,0.5335853920269095,0.6907237411907426,1500,841,0.5606666666666666,0.5354267699850357,386,218,0.5647668393782384,0.5149083304446079,2.7243712428235325,3,0.10872586400179682,0.48042756057293057,2.9873470753928695,False,False,baseline
