strategy,outer_fold,linear,tree,run,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score,folds,fold_60_std,worst_fold_60_lcb,robust_score,eligible,guardrails
hit_shrink50,1,0.245,0.205,0.5499999999999999,368,0.5543478260869565,0.5625320735351828,0.6925762501559243,272,155,0.5698529411764706,0.5104446791379107,183,105,0.5737704918032787,0.5013270624105493,2.656866866026869,2,0.010219937843652882,0.46302723174527716,3.09945422208484,False,False
hit_shrink50,1,0.245,0.22999999999999998,0.525,368,0.5516304347826086,0.5627433815316811,0.6906527662552379,270,154,0.5703703703703704,0.5107432384217514,172,99,0.5755813953488372,0.5008572057010132,2.655190609390783,2,0.01744186046511631,0.4529326746260169,3.073239563086567,False,False
hit_shrink50,1,0.245,0.255,0.5,368,0.5516304347826086,0.5631358106680352,0.6888677373908996,262,151,0.5763358778625954,0.5158215946545855,161,93,0.577639751552795,0.5004049570728791,2.6589347056248545,2,0.007872800246989775,0.4597200056030372,3.102909110733912,False,False
hit_shrink50,1,0.245,0.28,0.475,368,0.5597826086956522,0.5627433815316811,0.6872170656637698,262,151,0.5763358778625954,0.5158215946545855,151,90,0.5960264900662252,0.5163177027508873,2.7244285287240153,2,0.009298245614035083,0.4736631066346822,3.179495144130627,False,False
hit_shrink50,1,0.245,0.305,0.44999999999999996,368,0.5625,0.5636489872309597,0.6856970500518897,260,150,0.5769230769230769,0.5161778788860999,144,86,0.5972222222222222,0.5155952900234319,2.723014325138737,2,0.008296353463245199,0.4744901519219834,3.1809117701342298,False,False
hit_shrink50,1,0.245,0.33,0.42499999999999993,368,0.5625,0.5649470220665922,0.6843043483026101,255,147,0.5764705882352941,0.5151287065893556,139,84,0.60431654676259,0.5212692719542503,2.745329031365812,2,0.01304888152444078,0.47538570815444975,3.1946169764713805,False,False
hit_shrink50,1,0.245,0.355,0.3999999999999999,368,0.5597826086956522,0.565279077489661,0.6830359443601067,249,143,0.5742971887550201,0.5122107349241223,137,82,0.5985401459854015,0.5148500312284225,2.7165439159518194,2,0.013113006396588467,0.46881000069946455,3.159127903858107,False,False
hit_shrink50,1,0.245,0.38,0.375,368,0.5679347826086957,0.565520572342802,0.6818891204302284,246,142,0.5772357723577236,0.514780560928532,127,79,0.6220472440944882,0.5353033403327326,2.802859226397997,2,0.016641828117237967,0.48548180775863853,3.2550573779221597,False,False
hit_shrink50,1,0.245,0.405,0.35,368,0.5788043478260869,0.5660035620490839,0.680861432963224,238,137,0.5756302521008403,0.5121249678712904,119,73,0.6134453781512605,0.5237099878416429,2.7563545708251596,2,0.03423882286361063,0.45665361737846166,3.1445305424764,False,False
hit_shrink50,1,0.245,0.43,0.32499999999999996,368,0.5815217391304348,0.5666072991819362,0.6799506919739359,229,133,0.5807860262008734,0.5160592150896544,108,66,0.6111111111111112,0.516864220923738,2.733812497970487,2,0.029845626072041165,0.4503286833116465,3.124449929138051,False,False
