game_pk,game_date,y,linear,tree,run,outer_fold
744914,2024-07-01 19:07:00+00:00,0,0.5421519694401934,0.49464746345706184,0.07161575540597359,1
744840,2024-07-01 22:45:00+00:00,0,0.55617801643426,0.4814779216392349,0.21128704972714052,1
746535,2024-07-02 00:40:00+00:00,1,0.5810375330626115,0.6036383760943206,0.7209940018102127,1
746623,2024-07-02 22:40:00+00:00,1,0.6183212900842592,0.6309441955282513,0.9764159433077462,1
746047,2024-07-02 22:40:00+00:00,0,0.5250928047473161,0.4862815314338973,0.4506301495239222,1
745482,2024-07-02 22:40:00+00:00,0,0.5518841612319307,0.5745415917809966,0.6522635505806244,1
744838,2024-07-02 22:45:00+00:00,0,0.5708753470046929,0.5268929304373353,0.48010843541136944,1
745730,2024-07-02 23:05:00+00:00,0,0.6203444773016472,0.6185838384644947,0.9375920889209586,1
744913,2024-07-02 23:07:00+00:00,1,0.5735208409729261,0.5172607386843725,0.19536938007878257,1
747102,2024-07-02 23:20:00+00:00,0,0.5558019318225818,0.551755961532198,0.6571461443012013,1
745886,2024-07-02 23:40:00+00:00,1,0.5542702863955974,0.6257425345650719,0.4224982779199638,1
744999,2024-07-03 00:05:00+00:00,1,0.5325065184051937,0.4659640082490233,0.5905041373882999,1
746860,2024-07-03 00:05:00+00:00,0,0.48890417876116193,0.5070799242779428,0.2634172164568886,1
746282,2024-07-03 00:10:00+00:00,0,0.5638098603131192,0.5287856409855604,0.6937631534902835,1
746537,2024-07-03 00:40:00+00:00,0,0.5810998144067541,0.5817532372721583,0.444029213112021,1
745240,2024-07-03 01:40:00+00:00,0,0.5281577629183833,0.5274706545350708,0.485926007305467,1
745647,2024-07-03 01:40:00+00:00,1,0.6043226001472884,0.5576731850245621,0.7264215526431367,1
746133,2024-07-03 02:10:00+00:00,1,0.6169996737168103,0.593707418992973,0.6862519321026179,1
745487,2024-07-03 22:40:00+00:00,1,0.5897232590743594,0.5444110838731584,0.7928450000298839,1
746617,2024-07-03 22:40:00+00:00,0,0.6290271887149436,0.6436248625520957,0.9206126806878275,1
746045,2024-07-03 22:40:00+00:00,0,0.506920790757154,0.4971632570034689,0.5364246412957313,1
744837,2024-07-03 22:45:00+00:00,1,0.5644119676822752,0.5298385045500983,0.4062759291261401,1
745728,2024-07-03 23:05:00+00:00,0,0.6262774892468314,0.6131053180788453,0.9008900653144846,1
