y,linear,tree,run,inner_fold,game_date,outer_fold
1,0.5551981767755073,0.5514543538047268,0.44171907975107993,3,2024-06-03 22:40:00+00:00,1
0,0.5322629012366972,0.5294587202066531,0.3437206132252932,3,2024-06-03 22:45:00+00:00,1
0,0.5589276344327648,0.5286626744911889,0.059788780968238246,3,2024-06-03 23:07:00+00:00,1
0,0.5788166559681421,0.5163945908110098,0.28881160689454827,3,2024-06-04 00:05:00+00:00,1
1,0.5810688791366193,0.5647578180745854,0.39968250342834355,3,2024-06-04 00:10:00+00:00,1
0,0.5377872320225581,0.5222802195707095,0.38132520301057327,3,2024-06-04 00:40:00+00:00,1
1,0.5541353061912503,0.5363431042750545,0.5432154396898788,3,2024-06-04 01:38:00+00:00,1
1,0.556908825965238,0.5415214703846053,0.12757891251859635,3,2024-06-04 01:40:00+00:00,1
1,0.5557132745603541,0.5434824359014977,0.23898991378019135,3,2024-06-04 22:40:00+00:00,1
0,0.549992223197307,0.5413501361758587,0.35941062544065444,3,2024-06-04 22:40:00+00:00,1
1,0.5380693258143259,0.5338486623672164,0.42083202519245494,3,2024-06-04 22:40:00+00:00,1
1,0.5879456574999932,0.5479445256925349,0.4053782455821853,3,2024-06-04 22:40:00+00:00,1
0,0.5412417869487731,0.5452930323461861,0.3665155605730991,3,2024-06-04 22:45:00+00:00,1
1,0.5908251291341803,0.5738062376725486,0.6729848945584364,3,2024-06-04 23:05:00+00:00,1
0,0.5681455133294915,0.5107060772352515,0.40788537424725635,3,2024-06-04 23:07:00+00:00,1
0,0.5742343722446298,0.5519115424968103,0.40874030550322576,3,2024-06-04 23:10:00+00:00,1
0,0.5710961367453268,0.5155344066262338,0.04584692545655663,3,2024-06-05 00:05:00+00:00,1
1,0.5659826096506579,0.5709065228338447,0.46305828543715044,3,2024-06-05 00:05:00+00:00,1
1,0.5566365396415244,0.5627481192021878,0.4888020856234845,3,2024-06-05 00:10:00+00:00,1
0,0.5503428437357337,0.5607456186760448,0.582764923946562,3,2024-06-05 00:40:00+00:00,1
1,0.5646824070838438,0.5442366661394236,0.4174088308870338,3,2024-06-05 01:38:00+00:00,1
0,0.5807537792800889,0.557196601994821,0.8668685749328977,3,2024-06-05 01:40:00+00:00,1
1,0.5616879428955951,0.5611656359768634,0.051438749185866016,3,2024-06-05 01:40:00+00:00,1
1,0.583905257898329,0.5681953103707823,0.8080310370206831,3,2024-06-05 17:35:00+00:00,1
0,0.5533495689851983,0.5633163375028489,0.6354925798874603,3,2024-06-05 18:10:00+00:00,1
0,0.5465500868986942,0.5503797510106437,0.28126552546205646,3,2024-06-05 19:10:00+00:00,1
0,0.5404549760942828,0.5540757447037564,0.1332511394163066,3,2024-06-05 19:40:00+00:00,1
0,0.5449554652484317,0.5244940228350031,0.3261141906574038,3,2024-06-05 20:05:00+00:00,1
1,0.5534857096579576,0.564712159708333,0.19307172453151367,3,2024-06-05 20:05:00+00:00,1
1,0.5465636625352337,0.5313178585850497,0.36535611461024664,3,2024-06-05 22:40:00+00:00,1
0,0.5598121987596382,0.5691003895984555,0.6921112419476029,3,2024-06-05 22:40:00+00:00,1
1,0.5713748757839751,0.5662955006810154,0.7054861139319151,3,2024-06-05 23:05:00+00:00,1
1,0.5535735086588833,0.5502483090403465,0.3652430240789176,3,2024-06-05 23:07:00+00:00,1
1,0.5519479222086656,0.5644267828938855,0.703515730384239,3,2024-06-06 00:05:00+00:00,1
1,0.47392895792435796,0.5149023783917435,0.3140325197458046,3,2024-06-06 00:05:00+00:00,1
1,0.5574119343345485,0.5199817084368008,0.46128617547740863,3,2024-06-06 01:38:00+00:00,1
1,0.5782561164596308,0.556580667712692,0.3389714678174136,3,2024-06-06 01:40:00+00:00,1
1,0.5467136539244871,0.5588125491152675,0.271023903442492,3,2024-06-06 17:07:00+00:00,1
0,0.5324725360148761,0.5389919085532392,0.18823897527378203,3,2024-06-06 17:10:00+00:00,1
0,0.5915486574145773,0.5530890641937709,0.8671658371079297,3,2024-06-06 19:37:00+00:00,1
0,0.5266685621537973,0.5161034523965973,0.42799150142970527,3,2024-06-06 22:40:00+00:00,1
0,0.5472738626125383,0.5462994644814985,0.6034674903813397,3,2024-06-06 22:45:00+00:00,1
1,0.5901554214445174,0.5598656810040818,0.5888773809160053,3,2024-06-06 23:05:00+00:00,1
1,0.548476946965111,0.5684282519177245,0.22122660194885435,3,2024-06-06 23:10:00+00:00,1
0,0.5704854636477424,0.5740465206177349,0.6267760999797855,3,2024-06-06 23:45:00+00:00,1
0,0.5516232445388337,0.5407681554273801,0.31047658643319165,3,2024-06-07 00:10:00+00:00,1
0,0.5486961450698041,0.5499042751868473,0.23006140885720422,3,2024-06-07 01:40:00+00:00,1
1,0.5697787784623615,0.5454348733666969,0.4122617969293883,3,2024-06-07 18:15:00+00:00,1
1,0.5477722163082618,0.5142837664220788,0.2800041706076744,3,2024-06-07 22:40:00+00:00,1
0,0.5471559033953497,0.538486683839637,0.486732425317895,3,2024-06-07 22:40:00+00:00,1
1,0.5522232512458869,0.5400010775529206,0.5155033228827076,3,2024-06-07 22:45:00+00:00,1
0,0.5398907375747865,0.5276777628656353,0.27016914009103293,3,2024-06-07 22:50:00+00:00,1
0,0.5581461177019383,0.542379057763256,0.5308826267472295,3,2024-06-07 23:05:00+00:00,1
1,0.5699619255322632,0.5547291978852601,0.2777865525080704,3,2024-06-07 23:10:00+00:00,1
1,0.5316828084878634,0.5599272641944354,0.35561545530732236,3,2024-06-07 23:10:00+00:00,1
0,0.5384678122998886,0.5135860292981774,0.06248323164477097,3,2024-06-08 00:05:00+00:00,1
1,0.5905794378301453,0.5635382772812417,0.585917720278822,3,2024-06-08 00:10:00+00:00,1
1,0.5643713809852334,0.5423177964650768,0.5025312666184566,3,2024-06-08 00:10:00+00:00,1
0,0.5373787866355624,0.5239878918011199,0.3026916837427699,3,2024-06-08 01:38:00+00:00,1
1,0.5730550579348865,0.550047294990337,0.7088655517369549,3,2024-06-08 01:40:00+00:00,1
1,0.5775408203594644,0.5383233761052147,0.15095828034058542,3,2024-06-08 01:40:00+00:00,1
0,0.5739646567280349,0.5654045618589203,0.24882410046961093,3,2024-06-08 17:10:00+00:00,1
0,0.5532478801244946,0.5382190340513296,0.0856261305863527,3,2024-06-08 20:05:00+00:00,1
1,0.5451556388270421,0.5194915887012382,0.3999999910874147,3,2024-06-08 20:05:00+00:00,1
1,0.5370956688087,0.5531458857836921,0.2186487562145836,3,2024-06-08 20:05:00+00:00,1
0,0.5721651690397097,0.5641128018761653,0.584632754677916,3,2024-06-08 20:07:00+00:00,1
0,0.5584509768743561,0.5307194806528172,0.4969681999844605,3,2024-06-08 20:10:00+00:00,1
1,0.5456012232081232,0.5476012101160156,0.5750287592733884,3,2024-06-08 20:10:00+00:00,1
1,0.5712589093300772,0.5512202395928788,0.40403266871945165,3,2024-06-08 20:10:00+00:00,1
0,0.526378420686573,0.539387386253757,0.34298097975211483,3,2024-06-08 20:10:00+00:00,1
1,0.5407817004052128,0.5480805257611455,0.15390083585083242,3,2024-06-08 20:10:00+00:00,1
0,0.5702968676408045,0.5581687023288963,0.2605307986314498,3,2024-06-08 20:15:00+00:00,1
0,0.5715137285700419,0.550994218887474,0.758266534596384,3,2024-06-08 23:35:00+00:00,1
0,0.5684713910722105,0.5665301505016104,0.6857920302222397,3,2024-06-08 23:35:00+00:00,1
1,0.554252671049421,0.5435845468201367,0.2373021045960527,3,2024-06-09 00:40:00+00:00,1
0,0.5428557354481097,0.514287585350576,0.4105807173273581,3,2024-06-09 02:07:00+00:00,1
0,0.5775667401200525,0.5629821646530299,0.75261043141135,3,2024-06-09 14:10:00+00:00,1
1,0.5574447100164853,0.5198144670201112,0.19064528001010736,3,2024-06-09 17:05:00+00:00,1
