candidate,features,score,overall_accuracy,log_loss,conf55_n,conf55_accuracy,conf55_lcb,conf60_n,conf60_accuracy,conf60_lcb,fold55_std
core+starter,14,0.5126323466516111,0.5411985018726592,0.7890688677729394,710,0.571830985915493,0.5351432005421095,403,0.6153846153846154,0.5670077067850774,0.015467401089861079
all_context,33,0.5000601440294652,0.548689138576779,0.8032387671413668,741,0.5600539811066126,0.5240946068407257,492,0.5792682926829268,0.5351960781878582,0.021963853515146185
core+form+starter,22,0.4968672509981504,0.5411985018726592,0.795378125221536,694,0.5590778097982709,0.5219132621828232,426,0.5845070422535211,0.5371571789065434,0.028675322522969185
core+bat_bullpen,13,0.47610626664181777,0.4859550561797753,0.7963286188897416,285,0.5578947368421052,0.4998445496272588,67,0.5522388059701493,0.43357401531838863,0.02127815285109736
core6,6,0.4523822412649824,0.47659176029962547,0.7940373072360448,122,0.5655737704918032,0.47694312548105733,35,0.45714285714285713,0.30465773633760845,0.026166397417632596
core+form+bat_bullpen,21,0.41602760693611984,0.48314606741573035,0.8020765476057232,319,0.5015673981191222,0.44700697787446103,83,0.4939759036144578,0.3890868795664999,0.06070809582332292
core+form,14,0.3888366844287872,0.4897003745318352,0.800839318110206,206,0.49029126213592233,0.4228295786682513,44,0.36363636363636365,0.23783334127491426,0.07762172937060528
core+context,10,0.3779576406170808,0.4897003745318352,0.796667031614392,195,0.48717948717948717,0.41795156349284995,39,0.4358974358974359,0.2930452416170466,0.11154026158560734
