game_id,away,home,market,pick,model_hit_prob,raw_win_prob,push_prob,odds,book,ev
20260905-NC_Dinos-Kiwoom_Heroes,NC Dinos,Kiwoom Heroes,total,OVER 9,0.6854508196721312,0.6264044943820225,0.08614232209737828,1.91,LowVig.ag,0.2825749063670413
20260905-Doosan_Bears-SSG_Landers,Doosan Bears,SSG Landers,total,UNDER 10.5,0.6245318352059925,0.6245318352059925,0.0,1.89,LowVig.ag,0.18036516853932594
20260905-Hanwha_Eagles-Lotte_Giants,Hanwha Eagles,Lotte Giants,moneyline,Lotte Giants,0.5253669972827104,0.5148862539486172,0.019949375176403147,1.85,LowVig.ag,-0.027511055018654917
20260905-KT_Wiz-KIA_Tigers,KT Wiz,KIA Tigers,moneyline,KT Wiz,0.5197113369092002,0.5077755011528967,0.02296627937209862,1.77,FanDuel,-0.07827108358727419
20260905-Samsung_Lions-LG_Twins,Samsung Lions,LG Twins,moneyline,Samsung Lions,0.5179150306802167,0.5057715244191852,0.023446908356922157,2.3,LowVig.ag,0.18672141452104807
