game_id,game_date,season,away,home,away_score,home_score,status,stadium,away_starter,home_starter,home_history_games,away_history_games,elo_home_prob,home_days_rest,away_days_rest,home_win_r5,away_win_r5,home_run_diff_r5,away_run_diff_r5,home_runs_for_r5,away_runs_for_r5,home_runs_against_r5,away_runs_against_r5,home_bat_avg_r5,away_bat_avg_r5,home_bullpen_era_r5,away_bullpen_era_r5,home_bullpen_whip_r5,away_bullpen_whip_r5,home_win_r10,away_win_r10,home_run_diff_r10,away_run_diff_r10,home_runs_for_r10,away_runs_for_r10,home_runs_against_r10,away_runs_against_r10,home_bat_avg_r10,away_bat_avg_r10,home_bullpen_era_r10,away_bullpen_era_r10,home_bullpen_whip_r10,away_bullpen_whip_r10,home_win_r20,away_win_r20,home_run_diff_r20,away_run_diff_r20,home_runs_for_r20,away_runs_for_r20,home_runs_against_r20,away_runs_against_r20,home_bat_avg_r20,away_bat_avg_r20,home_bullpen_era_r20,away_bullpen_era_r20,home_bullpen_whip_r20,away_bullpen_whip_r20,home_bullpen_pitches_r3,away_bullpen_pitches_r3,home_home_win_r10,away_away_win_r10,h2h_home_win_r10,park_total_factor,home_starter_starts,home_starter_era_r5,home_starter_whip_r5,home_starter_k9_r5,home_starter_bb9_r5,home_starter_hr9_r5,home_starter_last_np,home_starter_days_rest,away_starter_starts,away_starter_era_r5,away_starter_whip_r5,away_starter_k9_r5,away_starter_bb9_r5,away_starter_hr9_r5,away_starter_last_np,away_starter_days_rest,diff_win_r5,diff_win_r10,diff_win_r20,diff_run_diff_r5,diff_run_diff_r10,diff_run_diff_r20,diff_runs_for_r5,diff_runs_for_r10,diff_runs_for_r20,diff_runs_against_r5,diff_runs_against_r10,diff_runs_against_r20,diff_bat_avg_r5,diff_bat_avg_r10,diff_bullpen_era_r5,diff_bullpen_era_r10,diff_bullpen_whip_r5,diff_bullpen_whip_r10,diff_bullpen_pitches_r3,diff_days_rest,diff_starter_era_r5,diff_starter_whip_r5,diff_starter_k9_r5,diff_starter_bb9_r5,diff_starter_hr9_r5,diff_starter_last_np,diff_starter_days_rest,diff_starter_starts,result,total_runs
20240326-Doosan_Bears-KT_Wiz,2024-03-26 18:30:00,2024,Doosan Bears,KT Wiz,8.0,5.0,Final,수원,곽빈,벤자민,2,2,0.488487615667468,2.0,2.0,0.0,0.5,-3.5,1.0,5.0,4.5,8.5,3.5,0.2686513629842181,0.26406926406926406,14.01923076923077,12.0,3.6461538461538465,3.916666666666667,0.0,0.5,-3.5,1.0,5.0,4.5,8.5,3.5,0.2686513629842181,0.26406926406926406,14.01923076923077,12.0,3.6461538461538465,3.916666666666667,0.0,0.5,-3.5,1.0,5.0,4.5,8.5,3.5,0.2686513629842181,0.26406926406926406,14.01923076923077,12.0,3.6461538461538465,3.916666666666667,89.5,73.0,0.0,0.5,,1.2397959183673468,0,,,,,,,,0,,,,,,,,-0.5,-0.5,-0.5,-4.5,-4.5,-4.5,0.5,0.5,0.5,5.0,5.0,5.0,0.004582098914954036,0.004582098914954036,2.01923076923077,2.01923076923077,-0.27051282051282044,-0.27051282051282044,16.5,0.0,,,,,,,,0.0,away,13.0
20240326-Hanwha_Eagles-SSG_Landers,2024-03-26 18:30:00,2024,Hanwha Eagles,SSG Landers,6.0,0.0,Final,문학,김민우,더거,2,2,0.5588757678092305,2.0,2.0,1.0,0.5,1.5,-1.0,6.0,5.0,4.5,6.0,0.28484848484848485,0.2711397058823529,9.0,9.5625,3.55,2.9375,1.0,0.5,1.5,-1.0,6.0,5.0,4.5,6.0,0.28484848484848485,0.2711397058823529,9.0,9.5625,3.55,2.9375,1.0,0.5,1.5,-1.0,6.0,5.0,4.5,6.0,0.28484848484848485,0.2711397058823529,9.0,9.5625,3.55,2.9375,89.5,67.5,1.0,0.5,,0.9459459459459459,0,,,,,,,,0,,,,,,,,0.5,0.5,0.5,2.5,2.5,2.5,1.0,1.0,1.0,-1.5,-1.5,-1.5,0.01370877896613193,0.01370877896613193,-0.5625,-0.5625,0.6124999999999998,0.6124999999999998,22.0,0.0,,,,,,,,0.0,away,6.0
20240326-Kiwoom_Heroes-NC_Dinos,2024-03-26 18:30:00,2024,Kiwoom Heroes,NC Dinos,5.0,10.0,Final,창원,헤이수스,카스타노,2,1,0.5417570954107553,2.0,3.0,0.5,0.0,-1.0,-2.0,3.5,5.0,4.5,7.0,0.20588235294117646,0.20588235294117646,7.875,,2.375,1.5,0.5,0.0,-1.0,-2.0,3.5,5.0,4.5,7.0,0.20588235294117646,0.20588235294117646,7.875,,2.375,1.5,0.5,0.0,-1.0,-2.0,3.5,5.0,4.5,7.0,0.20588235294117646,0.20588235294117646,7.875,,2.375,1.5,60.5,79.0,0.5,0.0,,0.7521367521367521,0,,,,,,,,0,,,,,,,,0.5,0.5,0.5,1.0,1.0,1.0,-1.5,-1.5,-1.5,-2.5,-2.5,-2.5,0.0,0.0,,,0.875,0.875,-18.5,-1.0,,,,,,,,0.0,home,15.0
20240326-Lotte_Giants-KIA_Tigers,2024-03-26 18:30:00,2024,Lotte Giants,KIA Tigers,1.0,2.0,Final,광주,반즈,양현종,1,2,0.5759408985423093,3.0,2.0,1.0,0.0,2.0,-1.5,7.0,4.5,5.0,6.0,0.35135135135135137,0.26013513513513514,,13.178571428571429,0.6666666666666666,3.607142857142857,1.0,0.0,2.0,-1.5,7.0,4.5,5.0,6.0,0.35135135135135137,0.26013513513513514,,13.178571428571429,0.6666666666666666,3.607142857142857,1.0,0.0,2.0,-1.5,7.0,4.5,5.0,6.0,0.35135135135135137,0.26013513513513514,,13.178571428571429,0.6666666666666666,3.607142857142857,48.0,65.5,1.0,0.0,,1.0909090909090908,0,,,,,,,,0,,,,,,,,1.0,1.0,1.0,3.5,3.5,3.5,2.5,2.5,2.5,-1.0,-1.0,-1.0,0.09121621621621623,0.09121621621621623,,,-2.9404761904761907,-2.9404761904761907,-17.5,1.0,,,,,,,,0.0,home,3.0
20240326-Samsung_Lions-LG_Twins,2024-03-26 18:30:00,2024,Samsung Lions,LG Twins,3.0,4.0,Final,잠실,백정현,켈리,2,2,0.4921854648987955,2.0,2.0,0.5,1.0,1.0,3.5,6.0,8.5,5.0,5.0,0.3,0.3682692307692308,22.5,31.5,1.5,3.125,0.5,1.0,1.0,3.5,6.0,8.5,5.0,5.0,0.3,0.3682692307692308,22.5,31.5,1.5,3.125,0.5,1.0,1.0,3.5,6.0,8.5,5.0,5.0,0.3,0.3682692307692308,22.5,31.5,1.5,3.125,47.5,62.0,0.5,1.0,,1.0592592592592591,0,,,,,,,,0,,,,,,,,-0.5,-0.5,-0.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.0,0.0,0.0,-0.0682692307692308,-0.0682692307692308,-9.0,-9.0,-1.625,-1.625,-14.5,0.0,,,,,,,,0.0,home,7.0
20240327-Doosan_Bears-KT_Wiz,2024-03-27 18:30:00,2024,Doosan Bears,KT Wiz,11.0,8.0,Final,수원,최원준,고영표,3,3,0.4537498586951828,1.0,1.0,0.0,0.6666666666666666,-3.3333333333333335,1.6666666666666667,5.0,5.666666666666667,8.333333333333334,4.0,0.2755921367263208,0.26428147016382314,12.346153846153847,9.0,3.0141025641025645,3.277777777777778,0.0,0.6666666666666666,-3.3333333333333335,1.6666666666666667,5.0,5.666666666666667,8.333333333333334,4.0,0.2755921367263208,0.26428147016382314,12.346153846153847,9.0,3.0141025641025645,3.277777777777778,0.0,0.6666666666666666,-3.3333333333333335,1.6666666666666667,5.0,5.666666666666667,8.333333333333334,4.0,0.2755921367263208,0.26428147016382314,12.346153846153847,9.0,3.0141025641025645,3.277777777777778,83.0,75.0,0.0,0.6666666666666666,0.0,1.3145539906103287,0,,,,,,,,0,,,,,,,,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-5.0,-5.0,-5.0,-0.666666666666667,-0.666666666666667,-0.666666666666667,4.333333333333334,4.333333333333334,4.333333333333334,0.011310666562497684,0.011310666562497684,3.3461538461538467,3.3461538461538467,-0.2636752136752136,-0.2636752136752136,8.0,0.0,,,,,,,,0.0,away,19.0
20240327-Hanwha_Eagles-SSG_Landers,2024-03-27 18:30:00,2024,Hanwha Eagles,SSG Landers,3.0,1.0,Final,문학,산체스,박종훈,3,3,0.5115343366028735,1.0,1.0,0.6666666666666666,0.6666666666666666,-1.0,1.3333333333333333,4.0,5.333333333333333,5.0,4.0,0.22323232323232323,0.24136586452762923,6.75,9.5625,2.6166666666666667,2.2083333333333335,0.6666666666666666,0.6666666666666666,-1.0,1.3333333333333333,4.0,5.333333333333333,5.0,4.0,0.22323232323232323,0.24136586452762923,6.75,9.5625,2.6166666666666667,2.2083333333333335,0.6666666666666666,0.6666666666666666,-1.0,1.3333333333333333,4.0,5.333333333333333,5.0,4.0,0.22323232323232323,0.24136586452762923,6.75,9.5625,2.6166666666666667,2.2083333333333335,78.33333333333333,64.66666666666667,0.6666666666666666,0.6666666666666666,0.0,0.8385093167701864,0,,,,,,,,0,,,,,,,,0.0,0.0,0.0,-2.333333333333333,-2.333333333333333,-2.333333333333333,-1.333333333333333,-1.333333333333333,-1.333333333333333,1.0,1.0,1.0,-0.018133541295306005,-0.018133541295306005,-2.8125,-2.8125,0.4083333333333332,0.4083333333333332,13.666666666666657,0.0,,,,,,,,0.0,away,4.0
20240327-Kiwoom_Heroes-NC_Dinos,2024-03-27 18:30:00,2024,Kiwoom Heroes,NC Dinos,2.0,6.0,Final,창원,김선기,이재학,3,2,0.5781389867563431,1.0,1.0,0.6666666666666666,0.0,1.0,-3.5,5.666666666666667,5.0,4.666666666666667,8.5,0.24201680672268908,0.21722689075630253,17.25,11.25,3.5833333333333335,2.125,0.6666666666666666,0.0,1.0,-3.5,5.666666666666667,5.0,4.666666666666667,8.5,0.24201680672268908,0.21722689075630253,17.25,11.25,3.5833333333333335,2.125,0.6666666666666666,0.0,1.0,-3.5,5.666666666666667,5.0,4.666666666666667,8.5,0.24201680672268908,0.21722689075630253,17.25,11.25,3.5833333333333335,2.125,58.666666666666664,92.0,0.6666666666666666,0.0,1.0,1.002020202020202,0,,,,,,,,0,,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,4.5,4.5,4.5,0.666666666666667,0.666666666666667,0.666666666666667,-3.833333333333333,-3.833333333333333,-3.833333333333333,0.02478991596638655,0.02478991596638655,6.0,6.0,1.4583333333333335,1.4583333333333335,-33.333333333333336,0.0,,,,,,,,0.0,home,8.0
20240327-Lotte_Giants-KIA_Tigers,2024-03-27 18:30:00,2024,Lotte Giants,KIA Tigers,2.0,8.0,Final,광주,나균안,네일,2,3,0.601468323441319,1.0,1.0,1.0,0.0,1.5,-1.3333333333333333,4.5,3.3333333333333335,3.0,4.666666666666667,0.2828185328185328,0.234029484029484,,11.785714285714286,0.6666666666666666,3.0714285714285716,1.0,0.0,1.5,-1.3333333333333333,4.5,3.3333333333333335,3.0,4.666666666666667,0.2828185328185328,0.234029484029484,,11.785714285714286,0.6666666666666666,3.0714285714285716,1.0,0.0,1.5,-1.3333333333333333,4.5,3.3333333333333335,3.0,4.666666666666667,0.2828185328185328,0.234029484029484,,11.785714285714286,0.6666666666666666,3.0714285714285716,53.0,51.666666666666664,1.0,0.0,1.0,0.7369942196531792,0,,,,,,,,0,,,,,,,,1.0,1.0,1.0,2.833333333333333,2.833333333333333,2.833333333333333,1.1666666666666665,1.1666666666666665,1.1666666666666665,-1.666666666666667,-1.666666666666667,-1.666666666666667,0.0487890487890488,0.0487890487890488,,,-2.404761904761905,-2.404761904761905,1.3333333333333357,0.0,,,,,,,,0.0,home,10.0
20240327-Samsung_Lions-LG_Twins,2024-03-27 18:30:00,2024,Samsung Lions,LG Twins,2.0,2.0,Final,잠실,원태인,최원태,3,3,0.5237376969541887,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,2.0,5.333333333333333,6.666666666666667,4.333333333333333,4.666666666666667,0.29876543209876544,0.3217032967032967,22.5,19.607142857142858,1.3333333333333333,2.511904761904762,0.6666666666666666,0.6666666666666666,1.0,2.0,5.333333333333333,6.666666666666667,4.333333333333333,4.666666666666667,0.29876543209876544,0.3217032967032967,22.5,19.607142857142858,1.3333333333333333,2.511904761904762,0.6666666666666666,0.6666666666666666,1.0,2.0,5.333333333333333,6.666666666666667,4.333333333333333,4.666666666666667,0.29876543209876544,0.3217032967032967,22.5,19.607142857142858,1.3333333333333333,2.511904761904762,47.0,51.333333333333336,0.6666666666666666,0.6666666666666666,1.0,0.9508196721311475,0,,,,,,,,0,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.333333333333334,-1.333333333333334,-1.333333333333334,-0.3333333333333339,-0.3333333333333339,-0.3333333333333339,-0.02293786460453129,-0.02293786460453129,2.8928571428571423,2.8928571428571423,-1.1785714285714286,-1.1785714285714286,-4.333333333333336,0.0,,,,,,,,0.0,draw,4.0
