game_id,game_date,season,away,home,away_score,home_score,status,stadium,note
20240403-Doosan_Bears-SSG_Landers,2024-04-03 18:30:00,2024,Doosan Bears,SSG Landers,3.0,5.0,Final,문학,-
20240403-KIA_Tigers-KT_Wiz,2024-04-03 18:30:00,2024,KIA Tigers,KT Wiz,5.0,1.0,Final,수원,-
20240403-Kiwoom_Heroes-Samsung_Lions,2024-04-03 18:30:00,2024,Kiwoom Heroes,Samsung Lions,,,Postponed,대구,우천취소
20240403-Lotte_Giants-Hanwha_Eagles,2024-04-03 18:30:00,2024,Lotte Giants,Hanwha Eagles,,,Postponed,한밭,우천취소
20240403-NC_Dinos-LG_Twins,2024-04-03 18:30:00,2024,NC Dinos,LG Twins,0.0,5.0,Final,잠실,-
20240404-Doosan_Bears-SSG_Landers,2024-04-04 18:30:00,2024,Doosan Bears,SSG Landers,2.0,3.0,Final,문학,-
20240404-KIA_Tigers-KT_Wiz,2024-04-04 18:30:00,2024,KIA Tigers,KT Wiz,6.0,3.0,Final,수원,-
20240404-Kiwoom_Heroes-Samsung_Lions,2024-04-04 18:30:00,2024,Kiwoom Heroes,Samsung Lions,10.0,1.0,Final,대구,-
20240404-Lotte_Giants-Hanwha_Eagles,2024-04-04 18:30:00,2024,Lotte Giants,Hanwha Eagles,5.0,6.0,Final,한밭,-
20240404-NC_Dinos-LG_Twins,2024-04-04 18:30:00,2024,NC Dinos,LG Twins,7.0,8.0,Final,잠실,-
20240405-Doosan_Bears-Lotte_Giants,2024-04-05 18:30:00,2024,Doosan Bears,Lotte Giants,4.0,3.0,Final,사직,-
20240405-Hanwha_Eagles-Kiwoom_Heroes,2024-04-05 18:30:00,2024,Hanwha Eagles,Kiwoom Heroes,7.0,11.0,Final,고척,-
20240405-KT_Wiz-LG_Twins,2024-04-05 18:30:00,2024,KT Wiz,LG Twins,8.0,7.0,Final,잠실,-
20240405-SSG_Landers-NC_Dinos,2024-04-05 18:30:00,2024,SSG Landers,NC Dinos,0.0,5.0,Final,창원,-
20240405-Samsung_Lions-KIA_Tigers,2024-04-05 18:30:00,2024,Samsung Lions,KIA Tigers,2.0,5.0,Final,광주,-
20240406-Doosan_Bears-Lotte_Giants,2024-04-06 17:00:00,2024,Doosan Bears,Lotte Giants,1.0,8.0,Final,사직,-
20240406-Hanwha_Eagles-Kiwoom_Heroes,2024-04-06 17:00:00,2024,Hanwha Eagles,Kiwoom Heroes,6.0,7.0,Final,고척,-
20240406-KT_Wiz-LG_Twins,2024-04-06 17:00:00,2024,KT Wiz,LG Twins,4.0,8.0,Final,잠실,-
20240406-SSG_Landers-NC_Dinos,2024-04-06 17:00:00,2024,SSG Landers,NC Dinos,3.0,16.0,Final,창원,-
20240406-Samsung_Lions-KIA_Tigers,2024-04-06 17:00:00,2024,Samsung Lions,KIA Tigers,7.0,4.0,Final,광주,-
20240407-Doosan_Bears-Lotte_Giants,2024-04-07 14:00:00,2024,Doosan Bears,Lotte Giants,6.0,7.0,Final,사직,-
20240407-Hanwha_Eagles-Kiwoom_Heroes,2024-04-07 14:00:00,2024,Hanwha Eagles,Kiwoom Heroes,3.0,4.0,Final,고척,-
20240407-KT_Wiz-LG_Twins,2024-04-07 14:00:00,2024,KT Wiz,LG Twins,7.0,16.0,Final,잠실,-
20240407-SSG_Landers-NC_Dinos,2024-04-07 14:00:00,2024,SSG Landers,NC Dinos,1.0,10.0,Final,창원,-
20240407-Samsung_Lions-KIA_Tigers,2024-04-07 14:00:00,2024,Samsung Lions,KIA Tigers,7.0,3.0,Final,광주,-
20240409-Hanwha_Eagles-Doosan_Bears,2024-04-09 18:30:00,2024,Hanwha Eagles,Doosan Bears,3.0,5.0,Final,잠실,-
20240409-KT_Wiz-NC_Dinos,2024-04-09 18:30:00,2024,KT Wiz,NC Dinos,6.0,1.0,Final,창원,-
20240409-Kiwoom_Heroes-SSG_Landers,2024-04-09 18:30:00,2024,Kiwoom Heroes,SSG Landers,5.0,8.0,Final,문학,-
20240409-LG_Twins-KIA_Tigers,2024-04-09 18:30:00,2024,LG Twins,KIA Tigers,2.0,7.0,Final,광주,-
20240409-Samsung_Lions-Lotte_Giants,2024-04-09 18:30:00,2024,Samsung Lions,Lotte Giants,8.0,1.0,Final,사직,-
20240410-Hanwha_Eagles-Doosan_Bears,2024-04-10 14:00:00,2024,Hanwha Eagles,Doosan Bears,4.0,7.0,Final,잠실,-
20240410-KT_Wiz-NC_Dinos,2024-04-10 14:00:00,2024,KT Wiz,NC Dinos,2.0,3.0,Final,창원,-
20240410-Kiwoom_Heroes-SSG_Landers,2024-04-10 14:00:00,2024,Kiwoom Heroes,SSG Landers,4.0,8.0,Final,문학,-
20240410-LG_Twins-KIA_Tigers,2024-04-10 14:00:00,2024,LG Twins,KIA Tigers,4.0,5.0,Final,광주,-
20240410-Samsung_Lions-Lotte_Giants,2024-04-10 14:00:00,2024,Samsung Lions,Lotte Giants,10.0,7.0,Final,사직,-
20240411-Hanwha_Eagles-Doosan_Bears,2024-04-11 18:30:00,2024,Hanwha Eagles,Doosan Bears,3.0,0.0,Final,잠실,-
20240411-KT_Wiz-NC_Dinos,2024-04-11 18:30:00,2024,KT Wiz,NC Dinos,7.0,8.0,Final,창원,-
20240411-Kiwoom_Heroes-SSG_Landers,2024-04-11 18:30:00,2024,Kiwoom Heroes,SSG Landers,5.0,2.0,Final,문학,-
20240411-LG_Twins-KIA_Tigers,2024-04-11 18:30:00,2024,LG Twins,KIA Tigers,4.0,8.0,Final,광주,-
20240411-Samsung_Lions-Lotte_Giants,2024-04-11 18:30:00,2024,Samsung Lions,Lotte Giants,4.0,0.0,Final,사직,-
20240412-KIA_Tigers-Hanwha_Eagles,2024-04-12 18:30:00,2024,KIA Tigers,Hanwha Eagles,8.0,4.0,Final,한밭,-
20240412-LG_Twins-Doosan_Bears,2024-04-12 18:30:00,2024,LG Twins,Doosan Bears,2.0,1.0,Final,잠실,-
20240412-Lotte_Giants-Kiwoom_Heroes,2024-04-12 18:30:00,2024,Lotte Giants,Kiwoom Heroes,4.0,9.0,Final,고척,-
20240412-NC_Dinos-Samsung_Lions,2024-04-12 18:30:00,2024,NC Dinos,Samsung Lions,8.0,3.0,Final,대구,-
20240412-SSG_Landers-KT_Wiz,2024-04-12 18:30:00,2024,SSG Landers,KT Wiz,3.0,8.0,Final,수원,-
20240413-KIA_Tigers-Hanwha_Eagles,2024-04-13 14:00:00,2024,KIA Tigers,Hanwha Eagles,11.0,9.0,Final,한밭,-
20240413-LG_Twins-Doosan_Bears,2024-04-13 17:00:00,2024,LG Twins,Doosan Bears,2.0,5.0,Final,잠실,-
20240413-Lotte_Giants-Kiwoom_Heroes,2024-04-13 17:00:00,2024,Lotte Giants,Kiwoom Heroes,1.0,8.0,Final,고척,-
20240413-NC_Dinos-Samsung_Lions,2024-04-13 17:00:00,2024,NC Dinos,Samsung Lions,4.0,3.0,Final,대구,-
20240413-SSG_Landers-KT_Wiz,2024-04-13 17:00:00,2024,SSG Landers,KT Wiz,11.0,8.0,Final,수원,-
20240414-KIA_Tigers-Hanwha_Eagles,2024-04-14 14:00:00,2024,KIA Tigers,Hanwha Eagles,5.0,2.0,Final,한밭,-
20240414-LG_Twins-Doosan_Bears,2024-04-14 14:00:00,2024,LG Twins,Doosan Bears,5.0,9.0,Final,잠실,-
20240414-Lotte_Giants-Kiwoom_Heroes,2024-04-14 14:00:00,2024,Lotte Giants,Kiwoom Heroes,5.0,7.0,Final,고척,-
20240414-NC_Dinos-Samsung_Lions,2024-04-14 14:00:00,2024,NC Dinos,Samsung Lions,5.0,12.0,Final,대구,-
20240414-SSG_Landers-KT_Wiz,2024-04-14 14:00:00,2024,SSG Landers,KT Wiz,8.0,1.0,Final,수원,-
20240416-Doosan_Bears-Samsung_Lions,2024-04-16 18:30:00,2024,Doosan Bears,Samsung Lions,5.0,7.0,Final,대구,-
20240416-Hanwha_Eagles-NC_Dinos,2024-04-16 18:30:00,2024,Hanwha Eagles,NC Dinos,7.0,4.0,Final,창원,-
20240416-KIA_Tigers-SSG_Landers,2024-04-16 18:30:00,2024,KIA Tigers,SSG Landers,4.0,6.0,Final,문학,-
20240416-KT_Wiz-Kiwoom_Heroes,2024-04-16 18:30:00,2024,KT Wiz,Kiwoom Heroes,3.0,6.0,Final,고척,-
20240416-Lotte_Giants-LG_Twins,2024-04-16 18:30:00,2024,Lotte Giants,LG Twins,2.0,7.0,Final,잠실,-
20240417-Doosan_Bears-Samsung_Lions,2024-04-17 18:30:00,2024,Doosan Bears,Samsung Lions,2.0,9.0,Final,대구,-
20240417-Hanwha_Eagles-NC_Dinos,2024-04-17 18:30:00,2024,Hanwha Eagles,NC Dinos,3.0,4.0,Final,창원,-
20240417-KIA_Tigers-SSG_Landers,2024-04-17 18:30:00,2024,KIA Tigers,SSG Landers,11.0,3.0,Final,문학,-
20240417-KT_Wiz-Kiwoom_Heroes,2024-04-17 18:30:00,2024,KT Wiz,Kiwoom Heroes,6.0,4.0,Final,고척,-
20240417-Lotte_Giants-LG_Twins,2024-04-17 18:30:00,2024,Lotte Giants,LG Twins,5.0,6.0,Final,잠실,-
20240418-Doosan_Bears-Samsung_Lions,2024-04-18 18:30:00,2024,Doosan Bears,Samsung Lions,2.0,5.0,Final,대구,-
20240418-Hanwha_Eagles-NC_Dinos,2024-04-18 18:30:00,2024,Hanwha Eagles,NC Dinos,,,Postponed,창원,미세먼지취소
20240418-KIA_Tigers-SSG_Landers,2024-04-18 18:30:00,2024,KIA Tigers,SSG Landers,5.0,7.0,Final,문학,-
20240418-KT_Wiz-Kiwoom_Heroes,2024-04-18 18:30:00,2024,KT Wiz,Kiwoom Heroes,3.0,0.0,Final,고척,-
20240418-Lotte_Giants-LG_Twins,2024-04-18 18:30:00,2024,Lotte Giants,LG Twins,9.0,2.0,Final,잠실,-
20240419-KT_Wiz-Lotte_Giants,2024-04-19 18:30:00,2024,KT Wiz,Lotte Giants,3.0,4.0,Final,사직,-
20240419-Kiwoom_Heroes-Doosan_Bears,2024-04-19 18:30:00,2024,Kiwoom Heroes,Doosan Bears,8.0,19.0,Final,잠실,-
20240419-LG_Twins-SSG_Landers,2024-04-19 18:30:00,2024,LG Twins,SSG Landers,4.0,1.0,Final,문학,-
20240419-NC_Dinos-KIA_Tigers,2024-04-19 18:30:00,2024,NC Dinos,KIA Tigers,3.0,4.0,Final,광주,-
20240419-Samsung_Lions-Hanwha_Eagles,2024-04-19 18:30:00,2024,Samsung Lions,Hanwha Eagles,1.0,6.0,Final,한밭,-
20240420-KT_Wiz-Lotte_Giants,2024-04-20 17:00:00,2024,KT Wiz,Lotte Giants,,,Postponed,사직,우천취소
20240420-Kiwoom_Heroes-Doosan_Bears,2024-04-20 17:00:00,2024,Kiwoom Heroes,Doosan Bears,,,Postponed,잠실,우천취소
20240420-LG_Twins-SSG_Landers,2024-04-20 17:00:00,2024,LG Twins,SSG Landers,,,Postponed,문학,우천취소
20240420-NC_Dinos-KIA_Tigers,2024-04-20 17:00:00,2024,NC Dinos,KIA Tigers,2.0,9.0,Final,광주,-
20240420-Samsung_Lions-Hanwha_Eagles,2024-04-20 17:00:00,2024,Samsung Lions,Hanwha Eagles,1.0,0.0,Final,한밭,-
20240421-KT_Wiz-Lotte_Giants,2024-04-21 14:00:00,2024,KT Wiz,Lotte Giants,9.0,9.0,Final,사직,-
20240421-Kiwoom_Heroes-Doosan_Bears,2024-04-21 14:00:00,2024,Kiwoom Heroes,Doosan Bears,8.0,4.0,Final,잠실,-
20240421-LG_Twins-SSG_Landers,2024-04-21 14:00:00,2024,LG Twins,SSG Landers,10.0,8.0,Final,문학,-
20240421-NC_Dinos-KIA_Tigers,2024-04-21 14:00:00,2024,NC Dinos,KIA Tigers,15.0,4.0,Final,광주,-
20240421-Samsung_Lions-Hanwha_Eagles,2024-04-21 14:00:00,2024,Samsung Lions,Hanwha Eagles,5.0,3.0,Final,한밭,-
20240421-KT_Wiz-Lotte_Giants-G2,2024-04-21 17:00:00,2024,KT Wiz,Lotte Giants,5.0,7.0,Final,사직,-
20240421-Kiwoom_Heroes-Doosan_Bears-G2,2024-04-21 17:00:00,2024,Kiwoom Heroes,Doosan Bears,1.0,2.0,Final,잠실,-
20240421-LG_Twins-SSG_Landers-G2,2024-04-21 17:00:00,2024,LG Twins,SSG Landers,5.0,5.0,Final,문학,-
20240423-Hanwha_Eagles-KT_Wiz,2024-04-23 18:30:00,2024,Hanwha Eagles,KT Wiz,6.0,9.0,Final,수원,-
20240423-KIA_Tigers-Kiwoom_Heroes,2024-04-23 18:30:00,2024,KIA Tigers,Kiwoom Heroes,5.0,2.0,Final,고척,-
20240423-LG_Twins-Samsung_Lions,2024-04-23 18:30:00,2024,LG Twins,Samsung Lions,3.0,7.0,Final,대구,-
20240423-NC_Dinos-Doosan_Bears,2024-04-23 18:30:00,2024,NC Dinos,Doosan Bears,3.0,4.0,Final,잠실,-
20240423-SSG_Landers-Lotte_Giants,2024-04-23 18:30:00,2024,SSG Landers,Lotte Giants,,,Postponed,사직,우천취소
20240424-Hanwha_Eagles-KT_Wiz,2024-04-24 18:30:00,2024,Hanwha Eagles,KT Wiz,1.0,7.0,Final,수원,-
20240424-KIA_Tigers-Kiwoom_Heroes,2024-04-24 18:30:00,2024,KIA Tigers,Kiwoom Heroes,6.0,4.0,Final,고척,-
20240424-LG_Twins-Samsung_Lions,2024-04-24 18:30:00,2024,LG Twins,Samsung Lions,0.0,6.0,Final,대구,-
20240424-NC_Dinos-Doosan_Bears,2024-04-24 18:30:00,2024,NC Dinos,Doosan Bears,3.0,1.0,Final,잠실,-
20240424-SSG_Landers-Lotte_Giants,2024-04-24 18:30:00,2024,SSG Landers,Lotte Giants,12.0,7.0,Final,사직,-
20240425-Hanwha_Eagles-KT_Wiz,2024-04-25 18:30:00,2024,Hanwha Eagles,KT Wiz,0.0,9.0,Final,수원,-
20240425-KIA_Tigers-Kiwoom_Heroes,2024-04-25 18:30:00,2024,KIA Tigers,Kiwoom Heroes,13.0,2.0,Final,고척,-
20240425-LG_Twins-Samsung_Lions,2024-04-25 18:30:00,2024,LG Twins,Samsung Lions,8.0,2.0,Final,대구,-
20240425-NC_Dinos-Doosan_Bears,2024-04-25 18:30:00,2024,NC Dinos,Doosan Bears,3.0,7.0,Final,잠실,-
20240425-SSG_Landers-Lotte_Giants,2024-04-25 18:30:00,2024,SSG Landers,Lotte Giants,3.0,6.0,Final,사직,-
20240426-Doosan_Bears-Hanwha_Eagles,2024-04-26 18:30:00,2024,Doosan Bears,Hanwha Eagles,10.0,5.0,Final,한밭,-
20240426-KIA_Tigers-LG_Twins,2024-04-26 18:30:00,2024,KIA Tigers,LG Twins,6.0,7.0,Final,잠실,-
20240426-KT_Wiz-SSG_Landers,2024-04-26 18:30:00,2024,KT Wiz,SSG Landers,2.0,5.0,Final,문학,-
20240426-Lotte_Giants-NC_Dinos,2024-04-26 18:30:00,2024,Lotte Giants,NC Dinos,0.0,4.0,Final,창원,-
