event_id,away,home,market,pick,model_prob,market_prob,edge,odds,book,ev
5163190733dcaaea80474e43cbe20a51,Hull City,Chelsea,total,UNDER 3.5,0.69835376185924,0.5415549597855228,0.15679880207371721,1.78,Bovada,0.24306969610944718
63da4075a4ae406575fd3086b839fe49,Fulham,Liverpool,total,UNDER 3.5,0.6960990235196368,0.5625,0.13359902351963682,1.69,Bovada,0.17640734974818617
e40d0fb44319f7bd0ebe1ffbc61fa661,Manchester City,Manchester United,total,UNDER 3.5,0.6958288545168888,0.581578947368421,0.11424990714846783,1.65,Bovada,0.1481176099528665
78d4dfda8c2dc27bdc3ec26c2654f8fc,Chelsea,Arsenal,1X2,Arsenal,0.6696441271592208,0.5546292233435718,0.11501490381564905,1.75,BetOnline.ag,0.17187722252863646
082f74fe6a8bc5826555b76e9e114dab,Arsenal,Sunderland,total,OVER 2.5,0.5561236406923494,0.4830287206266319,0.07309492006571755,1.98,Bovada,0.10112480857085182
d856d4353db0b4cca2a49b96dfd19c92,Brentford,Bournemouth,total,OVER 2.5,0.5555338490424027,0.5692307692307692,-0.013696920188366546,1.68,Bovada,-0.06670313360876357
b7a2cad26d908a943a27340b4b607068,Newcastle United,Leeds United,total,OVER 2.5,0.5521645433083352,0.5478036175710594,0.004360925737275756,1.75,Bovada,-0.033712049210413375
8ea6c863f1852654399073b518b0a1f8,Manchester United,Everton,total,OVER 2.5,0.5374995754576505,0.5710659898477157,-0.03356641439006525,1.69,BetUS,-0.09162571747657067
d09677edcf1fb82ad75a8df58bb26eab,Nottingham Forest,Aston Villa,total,OVER 2.5,0.5272796682736157,0.5052356020942408,0.022044066179374933,1.89,Bovada,-0.003441426962866312
cbbc88759fe3e2f1677a0c6ee40955af,Everton,Tottenham Hotspur,total,OVER 2.5,0.5220615779518497,0.4986737400530504,0.023387837898799335,1.91,Bovada,-0.002862386111967097
