snapshot_utc,odds_event_id,commence_time,home,away,home_market_novig,away_market_novig,home_ml_odds,away_ml_odds,moneyline_books,total_line,over_market_novig,under_market_novig,over_odds,under_odds,total_books
,a78d8674e699409d8d881b105ba90acd,,Cleveland Guardians,Detroit Tigers,0.557840616966581,0.44215938303341906,1.74,2.22,9,8.5,0.4895287958115184,0.5104712041884817,1.98,1.88,9
,1b0e8aa1b257757991d6d1e3d3d0bab9,,Colorado Rockies,St. Louis Cardinals,0.450632911392405,0.549367088607595,2.18,1.78,9,11.5,0.4947643979057591,0.5052356020942408,1.95,1.93,9
,3e11befa0d454e6d6a15358ce076b4cd,,Houston Astros,Arizona Diamondbacks,0.549367088607595,0.450632911392405,1.78,2.23,9,8.5,0.5295629820051414,0.47043701799485865,1.83,2.06,5
,db6080ddc95ea130d0b1ecb4538eaed5,,Kansas City Royals,Toronto Blue Jays,0.5221932114882506,0.47780678851174935,1.85,2.07,9,9.5,0.5129533678756476,0.4870466321243523,1.88,2.0,9
,a7447a61565d33b1dcfb229c623b45cb,,Los Angeles Dodgers,St. Louis Cardinals,0.35689652064720406,0.6431034793527959,6.25,1.68,6,3.5,0.4543381238421378,0.5456618761578622,2.55,1.81,4
,e5841b22c4ba21de51634f16c9743bcb,,Los Angeles Dodgers,Washington Nationals,0.731006160164271,0.268993839835729,1.33,3.65,9,8.0,0.5104712041884817,0.4895287958115184,1.88,1.98,6
,5f74d6675008f32d7fe295ab10bbf896,,Miami Marlins,Chicago Cubs,0.4498714652956298,0.5501285347043702,2.18,1.78,9,8.0,0.4895287958115184,0.5104712041884817,1.98,1.88,8
,72e2e4b474c796cd0827a5637575bb7d,,New York Mets,San Francisco Giants,0.625,0.375,1.57,2.59,9,8.5,0.47680412371134023,0.5231958762886597,2.03,1.85,5
,88620c3e43d7ed89b323b1d85e261c52,,Philadelphia Phillies,Atlanta Braves,0.5166240409207161,0.48337595907928377,1.93,2.02,9,6.5,0.521567809932607,0.478432190067393,1.83,2.05,6
,c3750e470b5141a39a1efd04ef2e7b25,,Pittsburgh Pirates,Los Angeles Angels,0.6413301662707838,0.35866983372921607,1.54,2.75,9,8.5,0.48031496062992135,0.5196850393700787,2.03,1.88,9
,2d3ba8f32a3003fe2c9866328f0b1a2b,,San Diego Padres,New York Yankees,0.45360824742268036,0.5463917525773196,2.15,1.81,9,7.5,0.4895287958115184,0.5104712041884817,1.98,1.91,9
,9218b403d53014d099eb5bec35ae957c,,Seattle Mariners,Athletics,0.028848900314195947,0.9711510996858042,34.0,1.01,1,11.5,0.07834101382488479,0.9216589861751152,13.4,1.11,3
,d08cd8d7e7ee9c4a2c546a19da42d129,,Texas Rangers,Tampa Bay Rays,0.4876215407629021,0.5123784592370979,1.98,1.94,6,8.0,0.5006561679790027,0.4993438320209974,1.93,1.95,6
