candidate,row_type,fold,train_to,validation_from,validation_to,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score,folds,fold_60_std,worst_fold_60_lcb,robust_score,eligible,selected,selection_method,promotion_passed,decision_reasons,win_features,policy
strength_C0.01,fold,1,2024-06-30 23:10:00+00:00,2024-07-01 19:07:00+00:00,2024-09-29 19:20:00+00:00,1150,0.5243478260869565,0.5612818891252447,0.6888636879506558,644,360,0.5590062111801242,0.5204210230412278,218,135,0.6192660550458715,0.5532698506765957,2.8689818201124444,,,,,,True,user_designated_baseline,False,user_designated;historical_gate_not_passed,"[""elo_home_prob"", ""diff_win_r20"", ""diff_run_diff_r20"", ""diff_bat_ops_r20"", ""diff_bullpen_era_r20"", ""diff_bullpen_whip_r20""]","{""fold_win_fraction"": 0.75, ""lcb_margin"": 0.01, ""max_accuracy_drop"": 0.005, ""max_auc_drop"": 0.005, ""max_fold_accuracy_drop"": 0.02, ""max_log_loss_increase"": 0.005, ""min_55_per_fold"": 100, ""min_60_per_fold"": 30, ""min_60_total"": 150, ""min_fold_games"": 300, ""min_folds"": 3, ""min_train_games"": 800, ""score_margin"": 0.025}"
strength_C0.01,fold,2,2024-09-29 19:20:00+00:00,2025-03-18 10:10:00+00:00,2025-06-30 23:35:00+00:00,1245,0.5670682730923695,0.5793647902496396,0.6808302480015773,619,369,0.5961227786752827,0.5569899523509708,178,118,0.6629213483146067,0.5906854978168498,3.07078898571142,,,,,,True,user_designated_baseline,False,user_designated;historical_gate_not_passed,"[""elo_home_prob"", ""diff_win_r20"", ""diff_run_diff_r20"", ""diff_bat_ops_r20"", ""diff_bullpen_era_r20"", ""diff_bullpen_whip_r20""]","{""fold_win_fraction"": 0.75, ""lcb_margin"": 0.01, ""max_accuracy_drop"": 0.005, ""max_auc_drop"": 0.005, ""max_fold_accuracy_drop"": 0.02, ""max_log_loss_increase"": 0.005, ""min_55_per_fold"": 100, ""min_60_per_fold"": 30, ""min_60_total"": 150, ""min_fold_games"": 300, ""min_folds"": 3, ""min_train_games"": 800, ""score_margin"": 0.025}"
strength_C0.01,fold,3,2025-06-30 23:35:00+00:00,2025-07-01 00:05:00+00:00,2025-09-28 19:20:00+00:00,1155,0.5489177489177489,0.5604943337476919,0.6843481285142452,570,328,0.5754385964912281,0.5344886798030787,148,96,0.6486486486486487,0.5688607590114603,2.9509939400539285,,,,,,True,user_designated_baseline,False,user_designated;historical_gate_not_passed,"[""elo_home_prob"", ""diff_win_r20"", ""diff_run_diff_r20"", ""diff_bat_ops_r20"", ""diff_bullpen_era_r20"", ""diff_bullpen_whip_r20""]","{""fold_win_fraction"": 0.75, ""lcb_margin"": 0.01, ""max_accuracy_drop"": 0.005, ""max_auc_drop"": 0.005, ""max_fold_accuracy_drop"": 0.02, ""max_log_loss_increase"": 0.005, ""min_55_per_fold"": 100, ""min_60_per_fold"": 30, ""min_60_total"": 150, ""min_fold_games"": 300, ""min_folds"": 3, ""min_train_games"": 800, ""score_margin"": 0.025}"
strength_C0.01,summary,pooled,,,,3550,0.5473239436619718,0.5645275461184226,0.6845771798138509,1833,1057,0.5766503000545554,0.5538937077423036,544,349,0.6415441176470589,0.6003824566913528,3.0973311511128663,3.0,0.018174559120313318,0.5532698506765957,3.6142518835488353,True,True,user_designated_baseline,False,user_designated;historical_gate_not_passed,"[""elo_home_prob"", ""diff_win_r20"", ""diff_run_diff_r20"", ""diff_bat_ops_r20"", ""diff_bullpen_era_r20"", ""diff_bullpen_whip_r20""]","{""fold_win_fraction"": 0.75, ""lcb_margin"": 0.01, ""max_accuracy_drop"": 0.005, ""max_auc_drop"": 0.005, ""max_fold_accuracy_drop"": 0.02, ""max_log_loss_increase"": 0.005, ""min_55_per_fold"": 100, ""min_60_per_fold"": 30, ""min_60_total"": 150, ""min_fold_games"": 300, ""min_folds"": 3, ""min_train_games"": 800, ""score_margin"": 0.025}"
