game_id,game_date,season,away,home,away_score,home_score,status,stadium,home_history_games,away_history_games,elo_home_prob,home_win_r20,away_win_r20,home_run_diff_r20,away_run_diff_r20,home_runs_for_r20,away_runs_for_r20,home_runs_against_r20,away_runs_against_r20,home_days_rest,away_days_rest,diff_win_r20,diff_run_diff_r20,diff_runs_for_r20,diff_runs_against_r20,diff_days_rest,result,total_runs
20240402-Orix_Buffaloes-Saitama_Seibu_Lions,2024-04-02 18:00:00,2024,Orix Buffaloes,Saitama Seibu Lions,1.0,2.0,Final,ベルーナドーム,3,3,0.5684914897991525,0.6666666666666666,0.3333333333333333,2.0,-1.0,4.0,1.6666666666666667,2.0,2.6666666666666665,2.0,2.0,0.3333333333333333,3.0,2.333333333333333,-0.6666666666666665,0.0,home,3.0
20240402-Tokyo_Yakult_Swallows-Hiroshima_Toyo_Carp,2024-04-02 18:00:00,2024,Tokyo Yakult Swallows,Hiroshima Toyo Carp,1.0,2.0,Final,マツダスタジアム,3,3,0.48804772318869855,0.3333333333333333,0.8333333333333334,-0.6666666666666666,2.0,3.0,4.333333333333333,3.6666666666666665,2.3333333333333335,2.0,2.0,-0.5,-2.6666666666666665,-1.333333333333333,1.333333333333333,0.0,home,3.0
20240402-Yokohama_DeNA_BayStars-Hanshin_Tigers,2024-04-02 18:00:00,2024,Yokohama DeNA BayStars,Hanshin Tigers,5.0,3.0,Final,京セラD大阪,3,3,0.5074806252757923,0.3333333333333333,0.6666666666666666,-1.3333333333333333,0.6666666666666666,1.6666666666666667,3.6666666666666665,3.0,3.0,2.0,2.0,-0.3333333333333333,-2.0,-1.9999999999999998,0.0,0.0,away,8.0
20240402-Yomiuri_Giants-Chunichi_Dragons,2024-04-02 18:15:00,2024,Yomiuri Giants,Chunichi Dragons,3.0,4.0,Final,バンテリンドーム,3,3,0.48664906416134635,0.16666666666666666,0.6666666666666666,-2.0,1.3333333333333333,2.3333333333333335,3.0,4.333333333333333,1.6666666666666667,2.0,2.0,-0.5,-3.333333333333333,-0.6666666666666665,2.666666666666666,0.0,home,7.0
20240402-Chiba_Lotte_Marines-Fukuoka_SoftBank_Hawks,2024-04-02 18:30:00,2024,Chiba Lotte Marines,Fukuoka SoftBank Hawks,0.0,2.0,Final,PayPayドーム,3,3,0.565070331417904,0.6666666666666666,0.3333333333333333,1.0,-0.3333333333333333,2.6666666666666665,2.0,1.6666666666666667,2.3333333333333335,2.0,2.0,0.3333333333333333,1.3333333333333333,0.6666666666666665,-0.6666666666666667,0.0,home,2.0
20240402-Tohoku_Rakuten_Golden_Eagles-Hokkaido_Nippon-Ham_Fighters,2024-04-02 18:30:00,2024,Tohoku Rakuten Golden Eagles,Hokkaido Nippon-Ham Fighters,4.0,2.0,Final,エスコンＦ,3,3,0.5660744042346963,0.6666666666666666,0.3333333333333333,0.3333333333333333,-2.0,2.3333333333333335,2.0,2.0,4.0,2.0,2.0,0.3333333333333333,2.3333333333333335,0.3333333333333335,-2.0,0.0,away,6.0
20240403-Chiba_Lotte_Marines-Fukuoka_SoftBank_Hawks,2024-04-03 18:00:00,2024,Chiba Lotte Marines,Fukuoka SoftBank Hawks,4.0,2.0,Final,PayPayドーム,4,4,0.5933750804408474,0.75,0.25,1.25,-0.75,2.5,1.5,1.25,2.25,1.0,1.0,0.5,2.0,1.0,-1.0,0.0,away,6.0
20240403-Orix_Buffaloes-Saitama_Seibu_Lions,2024-04-03 18:00:00,2024,Orix Buffaloes,Saitama Seibu Lions,0.0,3.0,Final,ベルーナドーム,4,4,0.5945979802528556,0.75,0.25,1.75,-1.0,3.5,1.5,1.75,2.5,1.0,1.0,0.5,2.75,2.0,-0.75,0.0,home,3.0
20240403-Tokyo_Yakult_Swallows-Hiroshima_Toyo_Carp,2024-04-03 18:00:00,2024,Tokyo Yakult Swallows,Hiroshima Toyo Carp,,,Postponed,マツダスタジアム,4,4,0.5198629563707642,0.5,0.625,-0.25,1.25,2.75,3.5,3.0,2.25,1.0,1.0,-0.125,-1.5,-0.75,0.75,0.0,,
20240403-Yokohama_DeNA_BayStars-Hanshin_Tigers,2024-04-03 18:00:00,2024,Yokohama DeNA BayStars,Hanshin Tigers,2.0,5.0,Final,京セラD大阪,4,4,0.4736187030038636,0.25,0.75,-1.5,1.0,2.0,4.0,3.5,3.0,1.0,1.0,-0.5,-2.5,-2.0,0.5,0.0,home,7.0
