game_id,away,home,market,pick,model_hit_prob,raw_win_prob,push_prob,odds,book,ev
20260905-Yomiuri_Giants-Hiroshima_Toyo_Carp,Yomiuri Giants,Hiroshima Toyo Carp,total,UNDER 8.5,0.6226993865030674,0.6226993865030674,0.0,2.08,FanDuel,0.29521472392638026
20260905-Yokohama_DeNA_BayStars-Hanshin_Tigers,Yokohama DeNA BayStars,Hanshin Tigers,total,UNDER 7.5,0.6190184049079754,0.6190184049079754,0.0,1.9,MyBookie.ag,0.17613496932515327
20260905-Hokkaido_Nippon-Ham_Fighters-Tohoku_Rakuten_Golden_Eagles,Hokkaido Nippon-Ham Fighters,Tohoku Rakuten Golden Eagles,total,UNDER 7.5,0.5785276073619632,0.5785276073619632,0.0,2.15,BetMGM,0.24383435582822077
20260905-Chunichi_Dragons-Tokyo_Yakult_Swallows,Chunichi Dragons,Tokyo Yakult Swallows,moneyline,Tokyo Yakult Swallows,0.5207628356133183,0.5067942421451253,0.026823330147478383,2.75,Bovada,0.43209779793662517
